ID,0-19%,20-29%,30-59%,60+%,AreaKM2,Pop_Density,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019_Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Other_Religion,%BornUK,%Born_Other_Europe,%Born_RestOf_theWorld,%Born_Asia,MbpsSpeed,%UnableDecent,%Under10Mbps,%LeaveVote,%17Turnout,con%,lab%,ld%,snp%
E14000754,0.2271,0.1214,0.38980000000000004,0.2706999999999999,65.8505105783881,1335.160490446605,1500,0.214574898785425,17.06077046439417,0.061465436,0.0002084929999999,530,132995.0,0.519942857142857,4.825653120464441,0.287668724,0.330516899,0.084623836,0.285863765,0.232,0.155,0.002,0.046,0.08,0.053,0.139,0.048,0.089,0.031,0.063,0.0619999999999999,0.307,0.217,0.174,0.125,0.176,0.984057838,0.004252776,0.00824119,0.001793062,0.253810257,0.736753178,0.003586124,0.003965426,0.9802763159,0.008206707,0.0056435489999999994,0.005873427,42.9,0.01237,0.2298,0.624,0.6100289182801697,29.71070395371263,59.46239151398264,2.18900675024108,0.0
E14000765,0.21810000000000002,0.1114,0.3973,0.2685,47.2446591820985,1767.0357125072155,1790,0.3161764705882353,21.441491082016697,0.058705848,-0.014574467,470,137250.0,0.4918478260869565,5.615793780687397,0.257978939,0.346200698,0.078801332,0.306921848,0.2269999999999999,0.149,0.001,0.046,0.095,0.051,0.14,0.045,0.089,0.042,0.058,0.0569999999999999,0.2689999999999999,0.2209999999999999,0.172,0.133,0.206,0.975882777,0.006233485,0.013007447,0.001789575,0.253531107,0.731467692,0.007026183,0.005572903000000001,0.976074946,0.009260149,0.0063656012999999,0.0082993026,63.7,0.0111,0.2137,0.618,0.6653493470005248,25.002905422680893,65.12795481486646,2.7032052623015597,0.0
E14000819,0.3055,0.1813,0.3601,0.1926999999999999,29.1467484213558,3291.1046753234345,2400,0.3445378151260505,25.01954652071932,0.096448294,-0.0295703479999999,470,106000.0,0.962962962962963,4.337152209492635,0.251336066,0.278083329,0.205987651,0.240543766,0.184,0.172,0.002,0.077,0.053,0.062,0.163,0.051,0.096,0.036,0.0469999999999999,0.056,0.317,0.1902499999999999,0.16225,0.14825,0.18325,0.843946093,0.019560006,0.105896767,0.015916476,0.292142971,0.593970063,0.098396633,0.013508762,0.894231077,0.027177328,0.0302562203999999,0.048335375400000005,64.9,0.01474,0.1834,0.6609999999999999,0.5845821254851865,26.744675477733814,65.67331705811375,1.0326346213205377,0.0
E14000820,0.22149999999999997,0.1127,0.37050000000000005,0.2923,197.141343902581,476.2572788709227,2160,0.3457943925233644,23.00564490361061,0.04584292,-0.025630875,570,149000.0,0.3423423423423424,5.026990553306343,0.330098059,0.345507304,0.116244747,0.190914549,0.2189999999999999,0.15,0.005,0.054,0.065,0.044,0.165,0.039,0.107,0.051,0.042,0.0579999999999999,0.263,0.19475,0.17175,0.1367499999999999,0.23375,0.975297869,0.00844591,0.011537716,0.002919441,0.277756232,0.707948204,0.007217805,0.004901644,0.973197165,0.011182211,0.0082304534,0.007390169700000001,65.1,0.01891,0.1523,0.653,0.6603074541030746,49.649307013859726,47.50734985300294,2.843343133137337,0.0
E14000831,0.3536999999999999,0.2152,0.3527999999999999,0.1609999999999999,23.7720993594243,4401.504403039562,3345,0.3822314049586777,31.968881710359064,0.085544367,0.0017540249999999,500,142000.0,0.4199999999999999,5.461538461538462,0.186798818,0.241742723,0.199534507,0.353513429,0.1239999999999999,0.148,0.001,0.106,0.0579999999999999,0.055,0.166,0.055,0.102,0.0559999999999999,0.065,0.063,0.266,0.1604999999999999,0.1375,0.1525,0.2825,0.742189918,0.020076206,0.184165306,0.029724739,0.3149968509999999,0.51161773,0.135068788,0.035626994999999995,0.78460504,0.045937264000000005,0.056108780000000004,0.11334891600000002,50.2,0.00177,0.1213,0.48,0.6713805808409189,24.623928398123685,64.89189626354667,4.884887043726748,0.0
E14000832,0.4585999999999999,0.3499,0.3014999999999999,0.15939999999999988,19.0846123165071,5382.084702404847,2700,0.2300683371298406,26.2863262425157,0.060238749,-0.0057095659999999,570,147000.0,0.0888888888888888,4.959514170040486,0.184889249,0.223146556,0.261100435,0.311621321,0.119,0.148,0.001,0.1,0.072,0.035,0.155,0.046,0.114,0.069,0.068,0.073,0.1969999999999999,0.1285,0.1185,0.2635,0.2915,0.886639676,0.01596418,0.070227746,0.018328469,0.4096077999999999,0.534768645,0.029972068,0.022251514,0.87854251,0.037190471,0.03610248,0.04816453800000001,57.9,0.00823,0.1414,0.411,0.6730387649421672,21.293561015442997,67.55289766313616,6.182001585128612,0.0
E14000833,0.2293,0.1196,0.3800999999999999,0.2623999999999999,70.57840304219431,1315.5299071373452,2120,0.3333333333333332,22.833017404790624,0.048452311,0.0016179809999999,580,171500.0,0.2472727272727273,5.686339522546419,0.299827262,0.346187065,0.11080628,0.228826906,0.166,0.151,0.001,0.0559999999999999,0.0819999999999999,0.05,0.153,0.044,0.102,0.0579999999999999,0.075,0.062,0.251,0.19275,0.15775,0.12375,0.27575,0.93780736,0.009593487,0.034534353,0.006854062,0.3115352879999999,0.650035756,0.02245448,0.014016173,0.937664338,0.019219978999999998,0.023081577,0.0200341059,41.6,0.01108,0.2469,0.568,0.7320842098890621,33.92147117296223,55.35329688535454,5.245609675281644,0.0
E14000840,0.2192,0.1151,0.3938999999999999,0.2751999999999999,104.087633243214,846.2868955255345,1905,0.22508038585209,21.62610117155572,0.052463513,-0.0004716879999999,560,113247.5,0.3323235294117648,3.888993818681319,0.297647363,0.37254395,0.114529473,0.203541882,0.2289999999999999,0.1669999999999999,0.003,0.051,0.0969999999999999,0.051,0.131,0.042,0.088,0.038,0.047,0.055,0.273,0.20325,0.18125,0.13125,0.21125,0.986199832,0.004684461,0.007561894,0.000782662,0.283910546,0.706329201,0.002819884,0.003533488,0.978545861,0.010393287,0.0056167488999998,0.0054441030000000005,30.3,0.02078,0.2253,0.603,0.6476332686277437,29.983365677848628,59.87662877737732,4.576748914148415,0.0
E14000853,0.22010000000000002,0.1192,0.4129999999999999,0.25419999999999976,44.1835277010772,2386.5681507687577,2420,0.3948126801152738,22.94991796826842,0.052920721,-0.011599628,550,144975.0,0.4570351758793969,5.069055944055944,0.237274498,0.359511307,0.121770983,0.268400102,0.184,0.152,0.001,0.054,0.113,0.05,0.141,0.049,0.085,0.046,0.072,0.056,0.266,0.2205,0.1725,0.1285,0.2115,0.96634719,0.008574901,0.018531585,0.004890143,0.341085043,0.643254738,0.005879932,0.007212716,0.961133651,0.015777817,0.010770075999999901,0.012318457,44.3,0.01177,0.2409,0.595,0.6587424284664318,27.31056810298312,64.47236568257149,2.879056501965621,0.0
E14000856,0.2103999999999999,0.1043999999999999,0.3958,0.2818,701.040262630091,134.77257304100604,2795,0.1918976545842217,29.582667414612462,0.04345642,-0.0006392169999999,520,117000.0,0.1729323308270676,4.326923076923077,0.332077306,0.36808071,0.117418257,0.16691382,0.239,0.141,0.013,0.05,0.087,0.044,0.153,0.036,0.099,0.043,0.038,0.0559999999999999,0.259,0.188,0.173,0.134,0.245,0.988927366,0.004852419,0.004906697,0.000759887,0.252586329,0.739326306,0.002051694,0.0027898690000000004,0.973089156,0.01583821,0.0068172685999999,0.0042553655,30.1,0.02013,0.2279,0.55,0.6670513640535054,34.47872740177863,52.83286710366999,7.093649534466202,0.0
